cve_id,published_date,updated_date,cisa_kev,cisa_kev_date,cvss_version,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,scope,attack_requirements,confidentiality_impact,integrity_impact,availability_impact,impacted_vendor,impacted_products,vulnerable_versions,cwe_number,cwe_description,ssvc_timestamp,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,ssvc_decision,quality_score,quality_reasons
CVE-2024-2424,2024-04-15T21:26:20.115000,2024-08-01T19:11:53.521000,False,,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,NONE,NONE,HIGH,Rockwell Automation ,"5015_aenftxt,5015-AENFTXT","v35,v35",CWE-20,CWE-20 Improper Input Validation,2024-04-19T17:11:22.359775,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5394,2024-04-11T19:21:52.796000,2024-08-09T20:13:47.066000,False,,3.1,7.4,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,NONE,HIGH,HIGH,Honeywell,"experion_process_knowledge_system,experion_lx,plantcruise,Experion Server,Experion Server,Experion Server","520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2,520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-119,CWE-119,2024-08-09T20:06:35.980311,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5393,2024-04-11T19:20:20.553000,2024-08-02T07:59:44.301000,False,,3.1,7.4,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,NONE,HIGH,HIGH,Honeywell,"Experion Server,Experion Server,Experion Server","520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-130,CWE-130,2024-05-15T18:37:37.313463,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2023-5392,2024-04-11T19:19:19.070000,2024-08-02T07:59:44.280000,False,,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,NONE,NONE,Honeywell,"c300,C300,C300,C300","510.1,511.1,520.1,520.2,520.2_tcu4_hfr2,520.2,510.1,520.1,511.1,520.2,511.1,520.1,520.2,520.1,520.2 TCU4 HFR2",CWE-1295,CWE-1295,2024-07-08T18:49:08.032838,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-31978,2024-04-09T08:34:44.145000,2024-09-04T15:03:29.467000,False,,3.1,7.6,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,LOW,LOW,HIGH,Siemens,SINEC NMS,0,CWE-22,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),2024-09-04T15:03:21.447298,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-0335,2024-04-03T18:53:25.236000,2024-09-19T17:35:29.362000,False,,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,NONE,NONE,HIGH,ABB,"symphony_plus_s\+_operations,symphony_plus_s\+_operations,symphony_plus_s\+_operations,symphony_plus_s\+_engineering,symphony_plus_s\+_analyst,Symphony Plus S+ Operations,Symphony Plus S+ Engineering,Symphony Plus S+ Analyst","3.3,2.1,2.0,2.1,7.0.0.0,3..0;0,2.1;0,2.0;0,2.1,7.0.0.0",CWE-23,CWE-23 Relative Path Traversal,2024-07-29T14:10:59.134745,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-25574,2024-04-01T16:04:46.800000,2024-08-01T23:44:09.659000,False,,3.1,8.8,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Delta Electronics,"diaenergie,DIAEnergie","0,0",CWE-89,CWE-89 SQL Injection,2024-04-01T17:13:46.607653,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-0400,2024-03-27T02:03:57.253000,2025-10-16T08:07:33.107000,False,,3.1,7.5,HIGH,NETWORK,HIGH,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,Hitachi Energy,"mach_scm,MACH SCM","4.0,4.0",CWE-94,CWE-94 Improper Control of Generation of Code ('Code Injection'),2024-08-06T18:54:08.600663,none,False,total,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-2425,2024-03-25T20:14:01.767000,2024-08-01T19:11:53.614000,False,,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,NONE,NONE,HIGH,Rockwell Automation ,PowerFlex® 527, v2.001.x <,CWE-20,CWE-20 Improper Input Validation,2024-03-28T18:27:55.373294,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
CVE-2024-25567,2024-03-21T22:22:17.780000,2024-08-01T23:44:09.621000,False,,3.1,8.1,HIGH,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,NONE,HIGH,HIGH,Delta Electronics,DIAEnergie,0,CWE-22,CWE-22: Improper limitation of a pathname to a restricted directory ('Path traversal'),2024-08-01T20:55:05.307378,none,False,partial,Track,63,ics_vendor;severity_high;remotely_reachable;complete_record;recent_2y
